left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
eig,0.7943941951,0.8101805449,0.7573992014,0.8779531121,0.8738951087,0.7530085444,0.7312990427,0.8235582113,0.9121915102,0.7486060262,0.800833106,0.8476375341,0.8099839687,0.7409067154,0.7616422176,0.8070368767,0.8504023552,0.811193347,0.8305156827,0.8670291901
eiv,0.8233121634,0.7843436003,0.8095394969,0.9177421927,0.7842130661,0.8096411228,0.6634569168,0.7877233624,0.8373581767,0.799125433,0.8579678535,0.6593489647,0.8333818913,0.7157614827,0.7691982985,0.7261946797,0.8497366309,0.73738873,0.7664160728,0.8186132908
eiy,0.8633793592,0.7344808578,0.6796848774,0.7454949617,0.8876549602,0.7908691168,0.7981448174,0.7760646343,0.8183048964,0.7192549109,0.8897947073,0.8520572782,0.9017693996,0.8576170206,0.8900282383,0.7542068362,0.7135061026,0.8685711622,0.8151832819,0.7954827547
ejb,0.7721127272,0.797370553,0.7334566712,0.7684414387,0.7867734432,0.8049234748,0.8210365772,0.8133989573,0.8041356206,0.7324970365,0.8632028103,0.7271660566,0.7589820623,0.8235343695,0.8160531521,0.7812902927,0.7578948736,0.7578254342,0.7642265558,0.8169982433
ejo,0.865809679,0.8190470934,0.875136137,0.7606548071,0.7175161839,0.7448869944,0.808005929,0.6866236925,0.74951756,0.8662624955,0.8252332807,0.8033590913,0.7705127001,0.8886008263,0.7768405676,0.8707851171,0.808162272,0.8256995678,0.8619874716,0.81229496
eka,0.7886196375,0.8340610266,0.6852446795,0.8932144642,0.6840745211,0.6919813752,0.7942810059,0.7330003977,0.7184404731,0.7794712186,0.7022263408,0.7756197453,0.6178722978,0.8556880355,0.7875829935,0.7988028526,0.8645652533,0.7497375011,0.7073364258,0.7209159136
ekm,0.7472812533,0.8197889924,0.7523918152,0.7293841243,0.7692668438,0.7842398882,0.8082629442,0.7801211476,0.8218311071,0.8500648737,0.7837506533,0.7700897455,0.765106976,0.8017975092,0.9090639353,0.7400944233,0.8115438223,0.8263653517,0.9180399179,0.7871413231
eko,0.8061652184,0.770457983,0.8581258059,0.7850769162,0.7642598152,0.8033354282,0.7505741715,0.7418071032,0.815595448,0.8590897322,0.7862986326,0.7808648348,0.7189340591,0.8241077662,0.743042469,0.6921948195,0.7003241181,0.8309297562,0.7993993759,0.719704628
eku,0.8895778656,0.8114116192,0.697442174,0.8522583246,0.7958239317,0.8417580128,0.9425343871,0.8862663507,0.8190163374,0.8174696565,0.9334890842,0.8097110391,0.6562595963,0.8021506071,0.8334342241,0.7741776705,0.8294650316,0.8535296321,0.7955960035,0.8776457906
ekv,0.870416522,0.7337677479,0.8313853741,0.6798411012,0.8898966312,0.7261317968,0.8915559053,0.9043734074,0.8471084237,0.7874904275,0.8615232706,0.8767442703,0.7183716893,0.7734300494,0.7999340296,0.916814208,0.7890673876,0.8215460777,0.8289681673,0.9081670642
ele,0.8174265623,0.9193689227,0.780950129,0.785847187,0.7647140026,0.8004370332,0.7891589403,0.8304636478,0.7571867108,0.802067399,0.8418795466,0.7389962673,0.7953481674,0.7811143398,0.7696142197,0.8708297014,0.7966843843,0.8587881327,0.8375663757,0.7883939743
ely,0.851314187,0.843129158,0.7310700417,0.8225045204,0.8663871288,0.7787268162,0.852704525,0.826900661,0.8337848186,0.7555392981,0.8416084051,0.7614089847,0.802385211,0.8383029699,0.7948557734,0.7302562594,0.8501706123,0.8453371525,0.8149062395,0.7833231688
emb,0.7092983723,0.8384261727,0.5418558121,0.8835295439,0.6462752819,0.8035269976,0.5697745681,0.8090571165,0.7472826242,0.7675855756,0.6815295815,0.7040595412,0.6669861078,0.8623176813,0.7649747133,0.6865096688,0.9722406864,0.6727510691,0.742891252,0.8334543705
emg,0.8503811359,0.8429298401,0.8793156147,0.8253542185,0.8321737647,0.9000753164,0.7895849347,0.8095465899,0.7852363586,0.8264139295,0.7766549587,0.8027267456,0.802496314,0.8112559915,0.736569047,0.8555846214,0.8919357061,0.7810657024,0.8339595795,0.8941358328
emi,0.6888490915,0.7663925886,0.7968753576,0.8243985176,0.728577733,0.6896085143,0.664571166,0.6047825813,0.9191070795,0.7986934185,0.8070281148,0.7076322436,0.7290172577,0.6904098392,0.6355814934,0.7972745895,0.729241848,0.7659474015,0.7139397264,0.7034471631
emq,0.8021134734,0.6833674908,0.7188853621,0.7502234578,0.8339883089,0.8024634123,0.7830433846,0.8383682966,0.8611850142,0.7937092781,0.8604364395,0.7570967674,0.747526288,0.8524056673,0.8399318457,0.8359260559,0.8191552758,0.8956884742,0.8802117109,0.85866189
ems,0.8500547409,0.8328961134,0.8071009517,0.7262532711,0.8211175203,0.8128695488,0.7159379721,0.8051173687,0.8141545057,0.8347414732,0.7468178272,0.7469128966,0.6503944397,0.7722433805,0.8301799893,0.6315352321,0.7830920219,0.7804230452,0.7792477608,0.7724462748
emt,0.753987968,0.6401417255,0.9001345038,0.7850682735,0.8246406913,0.7517738342,0.7299597859,0.7199119329,0.7686240673,0.673925519,0.6995440125,0.8274371624,0.6979536414,0.6654417515,0.77052176,0.9580501318,0.7537277937,0.7276144624,0.753239274,0.747076869
emw,0.7384274602,0.8347944617,0.6527371407,0.8859085441,0.7499602437,0.7936948538,0.7269415259,0.7091408372,0.7194116712,0.7316703796,0.7596238852,0.6790778637,0.7228609324,0.7424875498,0.8641927242,0.6821807027,0.6877436042,0.6116671562,0.7633035183,0.7121344805
enf,0.8296478987,0.766330719,0.9209895134,0.8748662472,0.8158956766,0.8807235956,0.8392767906,0.758706212,0.8765940666,0.8122330904,0.698045969,0.814533174,0.8241108656,0.8681209087,0.8792337179,0.8759553432,0.9130800366,0.8507131338,0.7740985155,0.8671017885
enl,0.7646507025,0.8005248308,0.8930994868,0.8049895167,0.868655622,0.7762497067,0.8480755091,0.7186677456,0.8747614622,0.7644560337,0.7975846529,0.8855684996,0.8225237131,0.8696931005,0.8335265517,0.8119887114,0.8160179257,0.870207727,0.8115956783,0.8882461786
enp,0.9056551456,0.8191560507,0.8248850107,0.7709465027,0.7062604427,0.8113974929,0.8313738704,0.7689605951,0.8124687672,0.8286828995,0.6325651407,0.8413295746,0.8263564706,0.9123287201,0.8282233477,0.737975657,0.8489685059,0.7686219811,0.7265278101,0.80341959
enz,0.6920899153,0.8018089533,0.7655099034,0.6409528852,0.660089016,0.7135648131,0.8147246838,0.8041876554,0.6952497363,0.7431769371,0.8296225667,0.765032053,0.7480880618,0.7751299143,0.7103553414,0.7332664132,0.7799018621,0.7457048893,0.4397132099,0.7531557083
eog,0.7315051556,0.6620514393,0.6644172668,0.6769607067,0.6972404122,0.6471173763,0.6772487164,0.7977446318,0.6585990191,0.7344465852,0.7785226107,0.7716310024,0.7455052137,0.6322793365,0.8051936626,0.9174197912,0.8167147636,0.7663908005,0.7586801052,0.7255399823
eoi,0.7413624525,0.6851689816,0.786098361,0.6920096874,0.6582812071,0.6691471934,0.7327393293,0.7245306969,0.6974409819,0.7644667625,0.8152874708,0.8093535304,0.641493082,0.7382880449,0.7818765044,0.6771997213,0.7121837139,0.8701162338,0.6483385563,0.7183609009
eom,0.7725537419,0.860132575,0.8890942335,0.9001832604,0.8386316299,0.8640116453,0.7061988115,0.8608711958,0.8082914948,0.7852872014,0.8284894228,0.9158956409,0.8883583546,0.7786152363,0.7684273124,0.8295633793,0.829030633,0.7249880433,0.8728502989,0.8616980314
eoo,0.7142888904,0.7353277206,0.8356083035,0.8477658033,0.8196378946,0.7539874315,0.7846742868,0.7907677889,0.8200674057,0.7476834059,0.7794288993,0.7694070935,0.8075559139,0.7544013262,0.851729393,0.8027644157,0.8130426407,0.8817907572,0.8192028403,0.8505404592
eop,0.7401846051,0.7642800808,0.8019398451,0.8499749303,0.7576777935,0.8032453656,0.7775820494,0.725009799,0.6923189163,0.7603955269,0.7873566151,0.8677871227,0.7411254048,0.760111928,0.8164281249,0.8264302611,0.7889208198,0.7430627942,0.7478225827,0.7606871128
eoz,0.8626646996,0.8201434612,0.8183825016,0.9006724358,0.7828381062,0.8745006323,0.8662269115,0.8415424824,0.8573246598,0.9223707914,0.9336112738,0.861531496,0.9041310549,0.790153265,0.8884245753,0.8689298034,0.9337754846,0.7722556591,0.745382905,0.7611039281
epc,0.74505651,0.7606701255,0.6846169233,0.7112921476,0.81729877,0.8083405495,0.7569897175,0.7782558203,0.8501834273,0.6462612152,0.7307344675,0.7326186299,0.7962487936,0.6322955489,0.7095835209,0.7614660263,0.684646368,0.7504099011,0.7651916742,0.7812653184
epf,0.7008656263,0.8020145893,0.7540769577,0.8215841055,0.8502626419,0.8139907122,0.7565850616,0.8808107376,0.7900237441,0.8228181601,0.7079373598,0.8468664885,0.8193799257,0.8334126472,0.6912169456,0.7297392488,0.7745198011,0.9179050326,0.8260449171,0.7215895653
epk,0.7055332661,0.6408473253,0.730609417,0.7774960399,0.8208464384,0.6045044065,0.7410515547,0.6942813993,0.6626849174,0.8027360439,0.8091658354,0.8447271585,0.7226869464,0.7560478449,0.8522503376,0.666860044,0.6214206219,0.7017086148,0.8369336724,0.7526618242
epm,0.6239722967,0.7275681496,0.5935057998,0.7689707875,0.6189729571,0.6591389179,0.6070168018,0.8005740047,0.6110934019,0.8339326382,0.7859416008,0.7120491862,0.6569210291,0.598072648,0.7857621908,0.7718918324,0.6848359108,0.7677006721,0.6721984148,0.6048677564
eqb,0.8255296946,0.8138642311,0.795165062,0.8391518593,0.7792963982,0.9049366713,0.7946129441,0.8843533993,0.8517156839,0.8921111822,0.774030745,0.8502104878,0.8633439541,0.8421890736,0.8435322046,0.7967862487,0.743745327,0.7148050666,0.808786869,0.8439905643
eqj,0.9220076799,0.8287267685,0.8424512148,0.7694352865,0.8019496202,0.8364281654,0.8063979149,0.711342454,0.7363420725,0.71349895,0.7587919235,0.7599323988,0.8538234234,0.7816396952,0.7852782011,0.6694162488,0.6764863729,0.8754768372,0.8430866599,0.8117218614
eqk,0.7497217059,0.760723412,0.7163462639,0.8521179557,0.8001857996,0.8066524267,0.7787461281,0.8095020056,0.8027124405,0.8453016281,0.7497419715,0.9227762222,0.7101982832,0.832952261,0.7343783379,0.7111637592,0.8750929832,0.7102975845,0.8652707338,0.753644824
era,0.7773451805,0.8228587508,0.8985872269,0.7528830767,0.8737566471,0.8660728931,0.9030091763,0.7457176447,0.7990956306,0.9257546663,0.8302782774,0.8735982776,0.8077688217,0.8446654081,0.7915652394,0.8767025471,0.8117465973,0.8490396738,0.8369297385,0.825006485
erc,0.7286465764,0.8554750681,0.8418177366,0.8967102766,0.6754659414,0.7455066442,0.8004055023,0.8266720772,0.7786679268,0.7975853086,0.673324585,0.793863833,0.7773697972,0.9148414135,0.7298910618,0.8167458177,0.7831989527,0.9059897661,0.6944537163,0.8473596573
ern,0.8409323096,0.7063945532,0.780231595,0.7676485777,0.8291993141,0.7870853543,0.8110967278,0.7499335408,0.7655177116,0.7896094322,0.8479520082,0.8665425777,0.8507454395,0.6991314888,0.7676817775,0.7496706247,0.7547841072,0.9077227116,0.8769993782,0.874166131
ers,0.8168494701,0.86751616,0.8828314543,0.7586314678,0.8483159542,0.7716796398,0.8077864647,0.7341253757,0.77412498,0.8063896894,0.7611669302,0.8468002081,0.7643626332,0.8028590083,0.795987606,0.7582991123,0.8003944159,0.8089901209,0.874240458,0.7681214809
ert,0.7243896723,0.8369172215,0.840256691,0.7960489392,0.7197083235,0.8210157752,0.8325087428,0.7624560595,0.8663932681,0.7760363817,0.8479491472,0.8207007647,0.7002507448,0.6499684453,0.800357461,0.7125380039,0.7458922267,0.735681057,0.8035211563,0.7921950817
esh,0.7532585859,0.7527756095,0.7163042426,0.7495751381,0.7394071817,0.8056426644,0.8398344517,0.6129781604,0.8384284377,0.7397825718,0.7845511436,0.7230249643,0.6794887781,0.9316687584,0.725880146,0.7984138727,0.8043042421,0.6630225778,0.7150114179,0.8572410345
esj,0.8112194538,0.8307980299,0.7491948605,0.827408433,0.9190499783,0.7672390342,0.7378309369,0.8938176632,0.862875104,0.7571983933,0.7201510668,0.9118955731,0.7424855828,0.7635688782,0.8587062359,0.9228572249,0.7983273268,0.9122523665,0.8736464977,0.7633564472
esu,0.8261226416,0.7307332754,0.7526932955,0.5926225185,0.7667820454,0.6996785402,0.6714146733,0.8193583488,0.887226522,0.6763589382,0.682320118,0.8087074757,0.5997799635,0.7854111195,0.7605432272,0.826017499,0.8146319389,0.8313597441,0.7399910688,0.8167222738
eta,0.6045330167,0.8955622315,0.8500263691,0.8488157988,0.8014428616,0.82971102,0.8190971613,0.8216372728,0.8603043556,0.8470700383,0.6911213994,0.7328050137,0.7055718303,0.8867008686,0.7930407524,0.8490477204,0.8318165541,0.9445922375,0.8473921418,0.8629723787
etb,0.7936146259,0.8292378187,0.8465914726,0.7239667177,0.8775496483,0.8005356193,0.7873519659,0.8136717081,0.8301199675,0.7962764502,0.802198112,0.8730822206,0.8934544325,0.7740047574,0.7733895779,0.8353134394,0.7821704149,0.907392621,0.9194620848,0.8030288815
ete,0.8698329926,0.7222428322,0.8885118961,0.8939310312,0.8909035325,0.8617953062,0.7806927562,0.688375771,0.9046704769,0.8095666766,0.8095560074,0.8627197742,0.79629004,0.9353173971,0.8399588466,0.693683207,0.8358337283,0.7936222553,0.8747021556,0.917316556
etk,0.7726252079,0.8844151497,0.8843898773,0.6939164996,0.8129581213,0.7671169043,0.7809211016,0.7702519298,0.8238201141,0.7829304338,0.8868685961,0.8488916159,0.7544240952,0.7812007666,0.8783757687,0.8285380602,0.8249647617,0.7050656676,0.7292323709,0.6776567101
etn,0.7988756895,0.7125093937,0.8179883957,0.7713042498,0.8087183237,0.7042836547,0.7980319262,0.8572711945,0.865755558,0.791380167,0.7445056438,0.7468195558,0.8817827702,0.8549855947,0.7585565448,0.8358822465,0.7394018173,0.7761478424,0.7910149097,0.8402532339
eur,0.6791439056,0.7532194853,0.7456225157,0.7459954619,0.7909287214,0.6747099161,0.7951691747,0.8182939291,0.8223357797,0.6868981123,0.8804308772,0.8140673041,0.7361489534,0.804023385,0.8533509374,0.8182395101,0.7831140161,0.7139703035,0.8100901842,0.7779675126
euw,0.7541710138,0.7565437555,0.9302779436,0.816647172,0.8573433161,0.8569797277,0.8005681038,0.7726664543,0.7419245243,0.7685765028,0.6616977453,0.8813817501,0.8419784307,0.7445452809,0.8044961691,0.6301143765,0.65603894,0.8950374126,0.7423587441,0.8134124875
eva,0.8684280515,0.7899956703,0.7627258301,0.8208556175,0.7481812835,0.7065814734,0.8965643644,0.6879069805,0.8128666282,0.9139049053,0.8643665314,0.7782417536,0.7335926294,0.8156846166,0.8064885139,0.8483344913,0.8283791542,0.728730917,0.6331964135,0.7975913882
evm,0.8426813483,0.9388283491,0.78518188,0.8939338326,0.9228911996,0.8340409994,0.7010331154,0.6783823967,0.9075228572,0.8537436724,0.5841524601,0.8814854622,0.762537539,0.7771281004,0.7605608702,0.8155356646,0.8422281742,0.7561130524,0.7828862071,0.652595222
evq,0.8149362206,0.7678460479,0.7509171963,0.8438774347,0.7816770077,0.8037316799,0.7869288325,0.764123261,0.8211880922,0.7904587984,0.8065555096,0.8168759346,0.8065394163,0.7987330556,0.8030828834,0.7760512233,0.7943170071,0.7184687853,0.806842804,0.7701282501
evv,0.8518748879,0.8924055099,0.8570917249,0.837367475,0.7548066974,0.8816013336,0.7619757652,0.8356944323,0.829449594,0.843649745,0.8621194959,0.7912687063,0.8679023385,0.8545972109,0.7865078449,0.8589859009,0.7811213136,0.8318918943,0.7783957124,0.8577483892
evw,0.8226566315,0.8257985115,0.8863678575,0.7575210333,0.8571487665,0.8268026114,0.7954335213,0.8057790995,0.7855131626,0.7774954438,0.9005026817,0.7103292942,0.8622790575,0.7903500795,0.7743148208,0.6985459328,0.8484332561,0.8378412724,0.7745918036,0.8619037867
ewy,0.8528541327,0.7390459776,0.8690084219,0.8463618755,0.8826730251,0.7929395437,0.8178816438,0.8147293925,0.7864537239,0.796245575,0.8632884622,0.85772264,0.7520231009,0.8051645756,0.7429816127,0.7989372611,0.8059270978,0.7346322536,0.7324133515,0.8171964884
exa,0.7115709186,0.6881923676,0.8963599205,0.8024014831,0.7530025244,0.8062931299,0.6997754574,0.7697151899,0.6970651746,0.8520448208,0.8850369453,0.8069065809,0.823908627,0.8357419968,0.8777880669,0.8841276169,0.737924099,0.8481726646,0.7600634098,0.8068801165
exn,0.7563325167,0.9041817188,0.810782671,0.8243250251,0.8249313831,0.7704788446,0.8427237272,0.7663233876,0.9258400798,0.8185349703,0.8048422337,0.8359591961,0.6982800961,0.8281114101,0.8050626516,0.7252727747,0.7823537588,0.8875548244,0.8850293159,0.7724282742
exp,0.7032115459,0.694378376,0.8488571644,0.7594596744,0.5929752588,0.7907583714,0.6937934756,0.7047139406,0.8513723612,0.7768930197,0.7013300657,0.8015801907,0.840192914,0.7901793718,0.7288751006,0.7675274611,0.8349049091,0.7029932141,0.6481444836,0.7771365643
exy,0.7394499779,0.7941990495,0.6623933911,0.7821846604,0.7419183254,0.8483395576,0.7998120785,0.8145927191,0.7904965878,0.8396885395,0.8266435266,0.7178338766,0.8383396268,0.7946095467,0.8312303424,0.7561883926,0.8220120072,0.7508651018,0.7861198187,0.8193782568
eyc,0.8173848391,0.7601098418,0.7853432894,0.7764663696,0.9160754085,0.892850697,0.8067075014,0.8643791676,0.8831106424,0.793625772,0.8433097601,0.8458390236,0.6696383953,0.7566140294,0.7119865417,0.8484439254,0.8145070076,0.8547749519,0.6402609348,0.8171259165
eyn,0.8378369212,0.7982193232,0.7461652756,0.7886585593,0.7526648045,0.7570571899,0.6472437382,0.8168359399,0.8499724865,0.7596837878,0.8417747021,0.7946567535,0.8394538164,0.8232090473,0.8737226725,0.8859652281,0.6783425212,0.7435032129,0.856271565,0.8155735135
eza,0.7486881018,0.8423161507,0.806020081,0.8297153711,0.7981414795,0.8768497109,0.7984300852,0.7892978191,0.7318096757,0.8584601879,0.7264277339,0.7229853868,0.8611890674,0.722104907,0.7609745264,0.7973644733,0.7869064808,0.8714932203,0.7109441161,0.7950344086
ezc,0.8815479279,0.7821292281,0.8753484488,0.761238575,0.8251671791,0.8615727425,0.8312054873,0.8173468113,0.7854318619,0.8394007087,0.7640027404,0.799624145,0.8343172073,0.8657207489,0.7385720611,0.8123601675,0.8205054998,0.8906396627,0.7369321585,0.8217499256
ezn,0.8688461781,0.8223992586,0.8584275246,0.848727107,0.8309663534,0.8626132607,0.8874511123,0.8292530179,0.7129530907,0.8335076571,0.8826951385,0.8650410771,0.8014872074,0.7328193784,0.8394180536,0.8111101985,0.9055191875,0.8063752651,0.8538916111,0.8040035367
ezz,0.788138032,0.8578952551,0.7877082825,0.80705446,0.7411013246,0.82226336,0.771015048,0.7551220655,0.8044641018,0.8136206865,0.8321443796,0.8138693571,0.8497968912,0.7735465169,0.8651058078,0.9032275677,0.803504467,0.7684046626,0.8601175547,0.7910551429
faa,0.9035157561,0.7740453482,0.7482925653,0.8610721827,0.6906386018,0.8642195463,0.8296396136,0.8151524663,0.7812491655,0.7232027054,0.6768757105,0.854306221,0.7014884353,0.8023868799,0.732585609,0.7821688652,0.7789284587,0.9113613367,0.9074677229,0.8771030307
fae,0.8115972877,0.8149597645,0.7799346447,0.7516093254,0.7685853243,0.7609029412,0.8733917475,0.824426055,0.764144659,0.8183803558,0.8847516775,0.8437242508,0.7268248796,0.7926670313,0.7675154805,0.8571600318,0.7710665464,0.858186245,0.8012022972,0.6872019768
fbl,0.8300938606,0.8993219137,0.8671044707,0.8628678322,0.7835378647,0.8242409825,0.8808791637,0.7848455906,0.7665702105,0.7257425785,0.906953454,0.8260941505,0.7392164469,0.7782678008,0.802167654,0.8669713736,0.8338443041,0.83921808,0.819653213,0.7972066402
fbt,0.627812326,0.7156490088,0.7295501828,0.7224857807,0.6395874023,0.7213785648,0.66043818,0.7619799376,0.6499124765,0.7901847959,0.6706722975,0.689807117,0.6335465312,0.6786054373,0.6485431194,0.6171038747,0.6311018467,0.6406178474,0.6883406639,0.6645097136
fby,0.746965766,0.8477745056,0.8528903723,0.7965464592,0.8682414293,0.7681087255,0.8417088985,0.8134446144,0.8842779994,0.7744880915,0.7763149738,0.8186590672,0.7030968666,0.8720847964,0.7645975947,0.8340175152,0.869967103,0.8936823606,0.7665543556,0.88804245
fcg,0.8100523353,0.731256485,0.8530925512,0.7217334509,0.8472255468,0.9251404405,0.8424532413,0.7838124037,0.8592885137,0.8789761066,0.8185380697,0.7536834478,0.8232274055,0.7519160509,0.7335126996,0.7912437916,0.8959213495,0.7594206333,0.8790235519,0.7317562103
fch,0.8235290051,0.8082910776,0.7992905974,0.8291463852,0.8132368922,0.8566892147,0.7349287868,0.6781491041,0.8172280788,0.7914717197,0.7961903811,0.7843560576,0.5688719153,0.8093852997,0.6996992826,0.8757234812,0.8150434494,0.8600277305,0.7928569317,0.7806373835
fck,0.8137931228,0.7934759259,0.7971535921,0.7569410205,0.7789340019,0.8827533722,0.7915586233,0.84502244,0.7892596722,0.8155419827,0.8900231123,0.8341988325,0.8111346364,0.7686322927,0.7164248228,0.902022779,0.8243485689,0.8610714674,0.8640137911,0.8391758204
fcm,0.8258590698,0.781139195,0.8404214382,0.8874242902,0.8558937311,0.926802218,0.8433187008,0.8168381453,0.8996170163,0.7414559126,0.828563869,0.8718318343,0.850921154,0.8992897868,0.8712698817,0.8136293888,0.8842117786,0.882442832,0.7524451017,0.7180938125
fcq,0.8494496346,0.7858868837,0.8803231716,0.5810695291,0.8058172464,0.7739232183,0.7841992378,0.8262674809,0.8425343633,0.7762563229,0.7768068314,0.8483911157,0.8197339773,0.7815209627,0.8342198133,0.8592442274,0.7280291319,0.807767868,0.6705707908,0.8727859259
fcr,0.7803823948,0.8762887716,0.8318228722,0.9050629139,0.8010706902,0.7633665204,0.7138782144,0.7782851458,0.6891846657,0.8520953655,0.8975456357,0.9104776382,0.7715236545,0.7908743024,0.9415253401,0.803832829,0.849170804,0.7677228451,0.8780127168,0.7914422154
fct,0.7673830986,0.7777098417,0.7911005616,0.7706256509,0.7035404444,0.7747330666,0.8324275017,0.7395034432,0.8313822746,0.7804743052,0.8042882085,0.8115413189,0.8116418123,0.8171485662,0.7990960479,0.7393103838,0.7322237492,0.7589467168,0.8163478971,0.6665526032
fcw,0.8923762441,0.8307943344,0.8467478752,0.855779767,0.8619381189,0.6749753952,0.8655132055,0.7120975852,0.7890467644,0.7848358154,0.6290479898,0.71683532,0.7940067649,0.8207378387,0.8003453016,0.801751256,0.7488659024,0.675144434,0.7365325689,0.8157303333
fdl,0.9192848206,0.8546839952,0.7894091606,0.6897960901,0.8255029321,0.7485603094,0.7173167467,0.7090568542,0.9407634735,0.7922434807,0.7658891082,0.7723023891,0.8308887482,0.7035249472,0.776356101,0.8615104556,0.8619425297,0.7506347895,0.8356157541,0.7686209679
fdr,0.762988925,0.7204847932,0.8360178471,0.643433094,0.8245300651,0.8303562403,0.7531502843,0.8028928041,0.836261034,0.8105272055,0.7960817218,0.7171583176,0.7366358638,0.8066239357,0.8651275635,0.7784207463,0.7886543274,0.7696181536,0.7779055834,0.8132722378
fds,0.7321545482,0.7734156847,0.6605755091,0.9004694223,0.6413882375,0.8188430071,0.6477582455,0.8005187511,0.8020405173,0.7467780113,0.8222888112,0.8220897913,0.8224605918,0.7268645763,0.7997923493,0.7456421256,0.8919818401,0.7569158077,0.794200778,0.7483395934
fdv,0.8293279409,0.8681197166,0.770816803,0.8510990143,0.8480342031,0.7930859923,0.8587546349,0.8387334943,0.7941020727,0.7978816032,0.8066999912,0.7498141527,0.7854169607,0.8853214979,0.8455308676,0.8484121561,0.8074138165,0.7678843737,0.7212603688,0.9021779299
fee,0.7893466949,0.7962456942,0.7953935862,0.8248853683,0.8736261129,0.8603863716,0.8556822538,0.8763815165,0.7027361393,0.8625856638,0.814462781,0.7805252075,0.8376554847,0.834321022,0.8005216122,0.8255386353,0.7667450905,0.7246630192,0.6497813463,0.8341203332
fef,0.7539726496,0.7776988745,0.7909823656,0.7420430183,0.8353302479,0.8087857962,0.8240767121,0.8949589133,0.8778808713,0.8506141901,0.8059902787,0.7640443444,0.8543362617,0.7831346393,0.832726717,0.7267712355,0.7940042019,0.7290154696,0.7128760219,0.8345968723
few,0.8381489515,0.8149249554,0.8664631844,0.8616349697,0.8427827358,0.7748796344,0.7869649529,0.6723485589,0.7934448719,0.8197262883,0.7735142708,0.7168108821,0.7691076994,0.8304364085,0.7902500629,0.7759977579,0.7500971556,0.734207809,0.8338239193,0.8923494816
ffd,0.7175931931,0.7087448835,0.9038228989,0.7378951311,0.8373736143,0.7127189636,0.7809553146,0.8191498518,0.8162102103,0.7771967649,0.8835767508,0.7765251398,0.743427515,0.7018210292,0.8934652805,0.7269358635,0.7221451402,0.7310774922,0.8541382551,0.8083662391
ffw,0.7022253275,0.6823622584,0.6435047388,0.8378324509,0.7385253906,0.7454752326,0.7277189493,0.7298292518,0.8291567564,0.7983088493,0.7928544879,0.8229902983,0.7776041627,0.7484971881,0.7027079463,0.812464118,0.8399734497,0.6695113778,0.724884212,0.6358730197
ffx,0.8341674805,0.8874125481,0.8409132957,0.8249384761,0.8526462317,0.8889718056,0.8951830864,0.8139693737,0.8083863258,0.7673956156,0.8976496458,0.7636603117,0.7663167715,0.7826044559,0.7761995792,0.8610321879,0.9124916792,0.8775718212,0.8762001991,0.9070265293
fgb,0.8314279914,0.9301840067,0.803357482,0.7313016653,0.7828720808,0.7824023962,0.8800208569,0.7351632118,0.9151159525,0.73809582,0.8146395683,0.837403059,0.7690495253,0.7461047769,0.8436996937,0.7742837071,0.7411605716,0.7493485808,0.8531373739,0.7706171274
fgf,0.5752122402,0.6652510762,0.9005980492,0.8213338852,0.8015950322,0.8347033262,0.7705851793,0.8685570359,0.8656555414,0.6206694841,0.8424764872,0.8538540602,0.7728590369,0.7813967466,0.773958683,0.7399557829,0.8741767406,0.8791645169,0.7883954048,0.8724057078
fgl,0.8535827994,0.6948359013,0.8155722022,0.6837993264,0.7153255939,0.7245121598,0.7322258949,0.7858716249,0.8401247263,0.7479864955,0.7769107223,0.8006613255,0.8431684375,0.8607317805,0.7614363432,0.7629542947,0.7985416651,0.7031391859,0.8081653714,0.7340651155
fgo,0.7851598263,0.8698801994,0.6810058355,0.7370111942,0.7473852038,0.8021761179,0.8093100786,0.8257189989,0.6883819699,0.7771660686,0.8132870197,0.7137557268,0.868807435,0.8295610547,0.6125013232,0.8470511436,0.8735438585,0.7683981657,0.8534591198,0.8272862434
fgt,0.7299888134,0.9659308195,0.7499414086,0.7945564985,0.7481000423,0.764431119,0.8366428614,0.776035428,0.8661803007,0.7864980698,0.8665609956,0.7456213236,0.7039433122,0.7110690475,0.8251405954,0.6868979335,0.8011956215,0.7440025806,0.7700932026,0.9377909899
fgw,0.8819342852,0.7250063419,0.8494431973,0.6323834062,0.6918890476,0.6529759169,0.8295051455,0.7497857809,0.7217696309,0.760443449,0.8755785823,0.8363425732,0.6497093439,0.7429220676,0.8178930283,0.8522906303,0.7203940153,0.8652640581,0.7480698228,0.8590883017
fgx,0.8977277279,0.7425249219,0.8771545887,0.6735844612,0.7499840856,0.8447521329,0.7305293083,0.8595241904,0.8328402042,0.79828614,0.807507515,0.88170439,0.7807402611,0.8123531342,0.8186043501,0.7180284858,0.7922620773,0.8729763031,0.8234280944,0.7551150322
fha,0.8137868643,0.8253120184,0.7549519539,0.7303285003,0.7514676452,0.8448053598,0.791939497,0.8249260187,0.8457194567,0.7972359657,0.7770376205,0.8358471394,0.8003041744,0.814453721,0.8712909222,0.7795885801,0.7697158456,0.8050895929,0.8897217512,0.8906983733
